val1,val2,nu,exp(nu),price,const,mpd,air,space,hpwt
8.02E-09,9.375030729,0,1,-0.181646402,-9.79036832,0.068736033,1.012542535,2.193707489,2.597901621
1.15E-09,9.362550081,-2.302585093,0.1,-0.184774459,-9.749614428,0.072693738,1.032811153,2.229724254,2.640670573
1.75E-10,9.392258835,-4.605170186,0.01,-0.18539371,-9.751009121,0.073151889,1.036490283,2.237137777,2.653768386
1.75E-11,9.398273501,-6.907755279,0.001,-0.185445628,-9.751530263,0.073201508,1.036712727,2.238009617,2.654692134
6.75E-13,9.398448274,-9.210340372,0.0001,-0.185447177,-9.751544012,0.073201507,1.036715967,2.238037694,2.654711602
,,,,,,,,,
3.04E-07,9.335562142,-1.609437912,0.2,-0.184167303,-9.749735298,0.072246635,1.029194923,2.222663994,2.628187436
4.18E-07,9.32680183,-0.916290732,0.4,-0.183324189,-9.758740462,0.071450337,1.023584814,2.213584525,2.614548462
5.09E-07,9.343730477,-0.510825624,0.6,-0.182716747,-9.770024025,0.070480948,1.019441537,2.20664465,2.608356236
5.54E-07,9.379189723,-0.223143551,0.8,-0.18229005,-9.782551753,0.069492945,1.016685087,2.201096938,2.606939546
,,,,,,,,,
3.68E-07,9.327531162,-1.272965676,0.28,-0.183779045,-9.752539374,0.071934468,1.026664078,2.218519661,2.621125049
4.82E-07,9.31853526,-1.021651248,0.36,-0.183400189,-9.754799164,0.071593521,1.024215577,2.214273196,2.614294284
4.12E-07,9.332432799,-0.820980552,0.44,-0.183218572,-9.761594182,0.071256798,1.022809509,2.212414905,2.61396201
5.22E-07,9.32622519,-0.653926467,0.52,-0.182889495,-9.764408481,0.070924798,1.020679471,2.20870183,2.608734535
,,,,,,,,,
3.44E-07,9.331234301,-1.203972804,0.3,-0.183720506,-9.75411236,0.071843281,1.026188235,2.217955354,2.620534015
3.88E-07,9.326974605,-1.139434283,0.32,-0.183612883,-9.75433565,0.071759279,1.025526113,2.216716681,2.618433954
4.34E-07,9.322741651,-1.078809661,0.34,-0.183506115,-9.75456463,0.07167603,1.02486858,2.215489357,2.616354152
4.82E-07,9.31853526,-1.021651248,0.36,-0.183400189,-9.754799164,0.071593521,1.024215577,2.214273196,2.614294284
3.81E-07,9.330162972,-0.967584026,0.38,-0.183422062,-9.758333145,0.071530412,1.024196161,2.214698369,2.616362431
4.18E-07,9.32680183,-0.916290732,0.4,-0.183324189,-9.758740462,0.071450337,1.023584814,2.213584525,2.614548462
3.79E-07,9.335215823,-0.867500568,0.42,-0.183311046,-9.761093097,0.071337206,1.02339259,2.213464876,2.615609719
,,,,,,,,,
4.46E-07,9.321687567,-1.064210862,0.345,-0.183479555,-9.754622748,0.071655334,1.024704907,2.215184277,2.615837328
4.58E-07,9.32063514,-1.049822124,0.35,-0.183453047,-9.75468121,0.071634684,1.024541516,2.214879892,2.615321746
4.70E-07,9.319584375,-1.03563749,0.355,-0.183426592,-9.754740017,0.07161408,1.024378406,2.2145762,2.6148074
4.82E-07,9.31853526,-1.021651248,0.36,-0.183400189,-9.754799164,0.071593521,1.024215577,2.214273196,2.614294284
4.94E-07,9.317487795,-1.007857925,0.365,-0.183373838,-9.75485865,0.071573009,1.024053027,2.213970879,2.613782395
3.63E-07,9.331850504,-0.994252273,0.37,-0.183471284,-9.758130842,0.071570723,1.024503419,2.215259032,2.617275941
3.72E-07,9.33100671,-0.980829253,0.375,-0.183446653,-9.758231955,0.07155054,1.024349677,2.214978425,2.616818773
,,,,,,,,,
4.84E-07,9.318325634,-1.018877321,0.361,-0.183394915,-9.754811034,0.071589415,1.024183045,2.214212678,2.614191808
4.87E-07,9.318116071,-1.016111067,0.362,-0.183389643,-9.754822917,0.071585311,1.024150524,2.214152186,2.614089381
4.89E-07,9.317906584,-1.013352445,0.363,-0.183384372,-9.754834815,0.071581208,1.024118014,2.214091723,2.613987004
4.92E-07,9.317697154,-1.010601411,0.364,-0.183379104,-9.754846725,0.071577107,1.024085515,2.214031287,2.613884675
4.97E-07,9.317278496,-1.005121946,0.366,-0.183368574,-9.754870587,0.071568911,1.024020551,2.213910497,2.613680163
4.99E-07,9.317069268,-1.002393431,0.367,-0.183363312,-9.754882538,0.071564816,1.023988086,2.213850143,2.613577981
5.02E-07,9.316860104,-0.999672341,0.368,-0.183358052,-9.754894503,0.071560722,1.023955631,2.213789816,2.613475847
5.04E-07,9.316651007,-0.996958635,0.369,-0.183352795,-9.754906481,0.071556631,1.023923188,2.213729517,2.613373762
,,,,,,,,,
5.02E-07,9.316818277,-0.99912901,0.3682,-0.183357001,-9.754896897,0.071559904,1.023949142,2.213777754,2.613455426
5.03E-07,9.316776457,-0.998585975,0.3684,-0.183355949,-9.754899293,0.071559086,1.023942653,2.213765693,2.613435007
5.03E-07,9.316734638,-0.998043234,0.3686,-0.183354898,-9.754901688,0.071558267,1.023936164,2.213753633,2.61341459
5.04E-07,9.316692817,-0.997500787,0.3688,-0.183353846,-9.754904084,0.071557449,1.023929676,2.213741574,2.613394175
3.61E-07,9.331985634,-0.996416776,0.3692,-0.18347523,-9.758114688,0.071573957,1.024528043,2.215303989,2.617349193
3.62E-07,9.331951846,-0.995875211,0.3694,-0.183474243,-9.758118725,0.071573148,1.024521886,2.215292748,2.617330878
3.62E-07,9.331918066,-0.995333939,0.3696,-0.183473257,-9.758122764,0.07157234,1.02451573,2.215281509,2.617312563
3.62E-07,9.331884284,-0.99479296,0.3698,-0.18347227,-9.758126803,0.071571531,1.024509574,2.21527027,2.617294251
,,,,,,,,,
5.04E-07,9.316684459,-0.997392333,0.36884,-0.183353636,-9.754904564,0.071557285,1.023928378,2.213739163,2.613390092
5.04E-07,9.316676096,-0.997283891,0.36888,-0.183353425,-9.754905043,0.071557122,1.023927081,2.213736751,2.61338601
