modelvec,id,firm,market,price,const,mpd,air,space,hpwt,share,share_out,prodvec,newmodv,mpg,quantity
AMGREM,129,15,1,4.935802,1,1.888146,0,1.1502,0.528997,0.001051,0.880106,AMGREM,AMGREM71,1.697,70.096
AMHORN,130,15,1,5.516049,1,1.935989,0,1.278,0.494324,0.00067,0.880106,AMHORN,AMHORN71,1.74,44.678
AMJAVL,132,15,1,7.108642,1,1.716799,0,1.4592,0.467613,0.000341,0.880106,AMJAVL,AMJAVL71,1.543,22.705
AMMATA,134,15,1,6.839506,1,1.687871,0,1.6068,0.42654,0.000522,0.880106,AMMATA,AMMATA71,1.517,34.821
AMAMBS,136,15,1,8.928395,1,1.504286,0,1.6458,0.452489,0.000442,0.880106,AMAMBS,AMAMBS71,1.352,29.499
BKSKYL,138,19,1,7.153086,1,1.726813,0,1.6224,0.450871,0.002756,0.880106,BKSKYL,BKSKYL71,1.552,183.763
BKLSAB,141,19,1,9.85679,1,1.727926,0,1.768,0.564002,0.002651,0.880106,BKLSAB,BKLSAB71,1.553,176.731
BKCNTU,143,19,1,11.269136,1,2.194121,0,1.768,0.731368,0.000487,0.880106,BKCNTU,BKCNTU71,1.972,32.494
BKELCT,144,19,1,12.135802,1,2.056154,0,1.816,0.719014,0.002415,0.880106,BKELCT,BKELCT71,1.848,161.031
BKRIVE,145,19,1,12.97037,1,1.978269,0,1.744,0.728324,0.000551,0.880106,BKRIVE,BKRIVE71,1.778,36.765
CDCALA,146,19,1,15,1,1.918187,0,1.808,0.732484,0.000127,0.880106,CDCALA,CDCALA71,1.724,8.481
CDDEVI,147,19,1,16.044444,1,1.912624,0,1.808,0.729387,0.002705,0.880106,CDDEVI,CDDEVI71,1.719,180.332
CDELDR,148,19,1,18.22963,1,2.018324,0,1.776,0.780749,0.000534,0.880106,CDELDR,CDELDR71,1.814,35.613
CDFLTW,149,19,1,19.167901,1,1.892596,0,1.832,0.716511,0.000333,0.880106,CDFLTW,CDFLTW71,1.701,22.194
CVVEGA,150,19,1,5.160494,1,2.211923,0,1.122,0.419385,0.004005,0.880106,CVVEGA,CVVEGA71,1.988,267.033
CVNOVA,151,19,1,5.938272,1,1.802473,0,1.387,0.487231,0.003533,0.880106,CVNOVA,CVNOVA71,1.62,235.553
CVCHEV,153,19,1,6.609877,1,1.682308,0,1.5352,0.451713,0.00503,0.880106,CVCHEV,CVCHEV71,1.512,335.378
CVCAMA,158,19,1,7.212346,1,1.62,0,1.41,0.468649,0.001812,0.880106,CVCAMA,CVCAMA71,1.456,120.803
CVMNTC,160,19,1,8.434568,1,1.604423,0,1.5732,0.702408,0.002186,0.880106,CVMNTC,CVMNTC71,1.442,145.787
CVBISC,161,19,1,7.644444,1,1.4175,0,1.736,0.388532,0.00038,0.880106,CVBISC,CVBISC71,1.274,25.357
CVBELA,163,19,1,7.982716,1,1.4175,0,1.736,0.388532,0.000732,0.880106,CVBELA,CVBELA71,1.274,48.786
CVIMPA,165,19,1,8.37284,1,1.406374,0,1.736,0.385638,0.008658,0.880106,CVIMPA,CVIMPA71,1.264,577.313
CVCAPR,167,19,1,10.207407,1,1.463118,0,1.736,0.631188,0.002089,0.880106,CVCAPR,CVCAPR71,1.315,139.272
CVCORV,169,19,1,13.661728,1,1.872569,0,1.2627,0.843223,0.000358,0.880106,CVCORV,CVCORV71,1.683,23.87
CRNEWP,170,16,1,10.345679,1,1.528764,0,1.8,0.659314,0.001038,0.880106,CRNEWP,CRNEWP71,1.374,69.197
CR300,171,16,1,11.57284,1,1.65783,0,1.8,0.775283,0.00012,0.880106,CR300,CR30071,1.49,7.98
CRNEWY,172,16,1,12.123457,1,1.893709,0,1.8,0.77278,0.000339,0.880106,CRNEWY,CRNEWY71,1.702,22.581
DGCOLT,173,16,1,4.925926,1,2.330975,0,1.0168,0.49505,0.000426,0.880106,DGCOLT,DGCOLT71,2.095,28.381
DGDART,177,16,1,6.049383,1,1.949341,0,1.379,0.431034,0.003121,0.880106,DGDART,DGDART71,1.752,208.085
DGCHLN,179,16,1,6.733333,1,1.654492,0,1.4784,0.413907,0.00044,0.880106,DGCHLN,DGCHLN71,1.487,29.356
DGCORN,181,16,1,6.85679,1,1.614437,0,1.6146,0.446841,0.001847,0.880106,DGCORN,DGCORN71,1.451,123.147
DGCHAR,184,16,1,6.683951,1,1.544341,0,1.5862,0.451011,6.00E-05,0.880106,DGCHAR,DGCHAR71,1.388,4.012
DGPOLA,186,16,1,8.14321,1,1.378558,0,1.768,0.386152,0.001077,0.880106,DGPOLA,DGPOLA71,1.239,71.802
DGMONA,188,16,1,10.42716,1,1.55658,0,1.768,0.679012,0.000274,0.880106,DGMONA,DGMONA71,1.399,18.265
FDPINT,190,18,1,4.738272,1,2.266442,0,1.141,0.384813,0.004923,0.880106,FDPINT,FDPINT71,2.037,328.275
FDMAVE,192,18,1,5.518519,1,2.130701,0,1.3277,0.384172,0.003714,0.880106,FDMAVE,FDMAVE71,1.915,247.626
