const,mpd,air,space,hpwt,trend,japan,japan_trend,euro,euro_trend,lag_ln_erate,ln_wage,mpd_blpiv,air_blpiv,space_blpiv,hpwt_blpiv
1,1.888146,0,1.1502,0.528997,0,0,0,0,0,0,3.962716,1.913956418,0,1.445616484,0.50985167
1,1.935989,0,1.278,0.494324,0,0,0,0,0,0,3.962716,1.91343067,0,1.444212088,0.510232692
1,1.716799,0,1.4592,0.467613,0,0,0,0,0,0,3.962716,1.915839352,0,1.442220879,0.51052622
1,1.687871,0,1.6068,0.42654,0,0,0,0,0,0,3.962716,1.916157242,0,1.440598901,0.510977571
1,1.504286,0,1.6458,0.452489,0,0,0,0,0,0,3.962716,1.918174659,0,1.44017033,0.510692418
1,1.726813,0,1.6224,0.450871,0,0,0,0,0,0,3.962716,1.915729308,0,1.440427473,0.510710198
1,1.727926,0,1.768,0.564002,0,0,0,0,0,0,3.962716,1.915717077,0,1.438827473,0.509467
1,2.194121,0,1.768,0.731368,0,0,0,0,0,0,3.962716,1.910594055,0,1.438827473,0.507627813
1,2.056154,0,1.816,0.719014,0,0,0,0,0,0,3.962716,1.912110176,0,1.4383,0.507763571
1,1.978269,0,1.744,0.728324,0,0,0,0,0,0,3.962716,1.912966055,0,1.439091209,0.507661264
1,1.918187,0,1.808,0.732484,0,0,0,0,0,0,3.962716,1.913626297,0,1.438387912,0.507615549
1,1.912624,0,1.808,0.729387,0,0,0,0,0,0,3.962716,1.913687429,0,1.438387912,0.507649582
1,2.018324,0,1.776,0.780749,0,0,0,0,0,0,3.962716,1.91252589,0,1.43873956,0.507085165
1,1.892596,0,1.832,0.716511,0,0,0,0,0,0,3.962716,1.913907516,0,1.438124176,0.507791077
1,2.211923,0,1.122,0.419385,0,0,0,0,0,0,3.962716,1.910398429,0,1.445926374,0.511056198
1,1.802473,0,1.387,0.487231,0,0,0,0,0,0,3.962716,1.914897879,0,1.443014286,0.510310637
1,1.682308,0,1.5352,0.451713,0,0,0,0,0,0,3.962716,1.916218374,0,1.441385714,0.510700945
1,1.62,0,1.41,0.468649,0,0,0,0,0,0,3.962716,1.916903077,0,1.442761538,0.510514835
1,1.604423,0,1.5732,0.702408,0,0,0,0,0,0,3.962716,1.917074253,0,1.440968132,0.507946055
1,1.4175,0,1.736,0.388532,0,0,0,0,0,0,3.962716,1.919128352,0,1.439179121,0.511395242
1,1.4175,0,1.736,0.388532,0,0,0,0,0,0,3.962716,1.919128352,0,1.439179121,0.511395242
1,1.406374,0,1.736,0.385638,0,0,0,0,0,0,3.962716,1.919250615,0,1.439179121,0.511427044
1,1.463118,0,1.736,0.631188,0,0,0,0,0,0,3.962716,1.918627055,0,1.439179121,0.508728692
1,1.872569,0,1.2627,0.843223,0,0,0,0,0,0,3.962716,1.914127593,0,1.44438022,0.506398637
1,1.528764,0,1.8,0.659314,0,0,0,0,0,0,3.962716,1.91790567,0,1.438475824,0.508419615
1,1.65783,0,1.8,0.775283,0,0,0,0,0,0,3.962716,1.916487363,0,1.438475824,0.507145231
1,1.893709,0,1.8,0.77278,0,0,0,0,0,0,3.962716,1.913895286,0,1.438475824,0.507172736
1,2.330975,0,1.0168,0.49505,0,0,0,0,0,0,3.962716,1.909090165,0,1.447082418,0.510224714
1,1.949341,0,1.379,0.431034,0,0,0,0,0,0,3.962716,1.913283945,0,1.443102198,0.510928187
1,1.654492,0,1.4784,0.413907,0,0,0,0,0,0,3.962716,1.916524044,0,1.44200989,0.511116396
1,1.614437,0,1.6146,0.446841,0,0,0,0,0,0,3.962716,1.916964209,0,1.440513187,0.510754484
1,1.544341,0,1.5862,0.451011,0,0,0,0,0,0,3.962716,1.917734495,0,1.440825275,0.510708659
1,1.378558,0,1.768,0.386152,0,0,0,0,0,0,3.962716,1.919556286,0,1.438827473,0.511421396
1,1.55658,0,1.768,0.679012,0,0,0,0,0,0,3.962716,1.9176,0,1.438827473,0.508203154
1,2.266442,0,1.141,0.384813,0,0,0,0,0,0,3.962716,1.909799319,0,1.445717582,0.51143611
1,2.130701,0,1.3277,0.384172,0,0,0,0,0,0,3.962716,1.911290978,0,1.443665934,0.511443154
1,1.711236,0,1.5939,0.464297,0,0,0,0,0,0,3.962716,1.915900484,0,1.440740659,0.510562659
1,1.732376,0,1.425,0.497769,0,0,0,0,0,0,3.962716,1.915668176,0,1.442596703,0.510194835
1,1.458668,0,1.736,0.380952,0,0,0,0,0,0,3.962716,1.918675956,0,1.439179121,0.511478538
1,1.443091,0,1.736,0.376851,0,0,0,0,0,0,3.962716,1.918847132,0,1.439179121,0.511523604
1,1.447541,0,1.736,0.602864,0,0,0,0,0,0,3.962716,1.918798231,0,1.439179121,0.509039945
1,2.050591,0,1.677,0.820232,0,0,0,0,0,0,3.962716,1.912171308,0,1.439827473,0.506651286
1,2.079519,0,1.8,0.719637,0,0,0,0,0,0,3.962716,1.911853418,0,1.438475824,0.507756725
1,1.970481,0,1.736,0.729562,0,0,0,0,0,0,3.962716,1.913051637,0,1.439179121,0.507647659
1,2.127363,0,1.3419,0.382848,0,0,0,0,0,0,3.962716,1.911327659,0,1.44350989,0.511457703
1,1.648929,0,1.638,0.449195,0,0,0,0,0,0,3.962716,1.916585176,0,1.440256044,0.510728615
1,1.65783,0,1.4972,0.720504,0,0,0,0,0,0,3.962716,1.916487363,0,1.441803297,0.507747198
1,1.533214,0,1.8,0.595681,0,0,0,0,0,0,3.962716,1.917856769,0,1.438475824,0.509118879
1,1.630014,0,1.8,0.598251,0,0,0,0,0,0,3.962716,1.916793033,0,1.438475824,0.509090637
1,1.86478,0,1.6016,0.445879,0,0,0,0,0,0,3.962716,1.914213187,0,1.440656044,0.510765055
1,1.730151,0,1.768,0.578313,0,0,0,0,0,0,3.962716,1.915692626,0,1.438827473,0.509309736
1,1.862555,0,1.7933,0.716364,0,0,0,0,0,0,3.962716,1.914237637,0,1.438549451,0.507792692
1,1.920412,0,1.76,0.773994,0,0,0,0,0,0,3.962716,1.913601846,0,1.438915385,0.507159396
1,1.852541,0,1.3608,0.440917,0,0,0,0,0,0,3.962716,1.914347681,0,1.443302198,0.510819582
1,1.667843,0,1.4025,0.415282,0,0,0,0,0,0,3.962716,1.91637733,0,1.442843956,0.511101286
1,1.602198,0,1.6195,0.446291,0,0,0,0,0,0,3.962716,1.917098703,0,1.440459341,0.510760527
